Username,Password,Session_Score_1,Sessions_Score_2,Session_Score_3
Michael,michael,3000,1776,1469
Peter,peterpeter1,1226,889,1300
Gol,pet,4567,567,106
Tester2,alien4,4421,320,699
Mike,mikemike1,421,0,0
Bob,bobster,421,400,2
Rub,rub,1,1,4
Star,star,4,5,6
Thebobster,bobby,0,414,0
Newname1,password1,25,2000,1106
David,davidson,0,100,0
Maximumuser,max,0,0,0
Balls,ballone,0,0,0
Ballsno2,ball,0,0,0
Ballsno3,ball,0,0,0
Golf,ball,25,0,0
Lemons,lemon,106,25,0
Message,mess,25,25,0
Test18,a,1469,0,0
Test19,a,0,0,0
Test20,a,0,0,0
